2018-01-18 15:03:21.7264 DESKTOP-2Q89F24 8  ::1 FacadeBase Login Begin
2018-01-18 15:03:21.7584 DESKTOP-2Q89F24 8  ::1 FacadeBase Login End
2018-01-18 15:03:21.8409 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:03:21.8409 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:03:21.8509 DESKTOP-2Q89F24 16 SRS1 ::1 MenuFacade Init Begin
2018-01-18 15:03:21.9139 DESKTOP-2Q89F24 16 SRS1 ::1 MenuFacade Init End
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:04:52.4526 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:04:52.4606 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:04:52.4606 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 15:04:52.9496 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 15:05:04.7246 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:05:04.7246 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:05:04.7246 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:05:04.7261 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:05:04.7261 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:05:04.7261 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:05:04.7261 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:05:04.7261 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:05:04.7911 DESKTOP-2Q89F24 16 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 15:05:04.9296 DESKTOP-2Q89F24 16 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 15:10:20.7765 DESKTOP-2Q89F24 8  ::1 FacadeBase Login Begin
