2018-01-22 13:08:29.0329 ARCHWAY-ROOT 11  ::1 FacadeBase Login Begin
2018-01-22 13:08:29.0469 ARCHWAY-ROOT 11  ::1 FacadeBase Login End
2018-01-22 13:08:29.0469 ARCHWAY-ROOT 16 SRS1 ::1 FacadeBase Authentication Begin
2018-01-22 13:08:29.0469 ARCHWAY-ROOT 16 SRS1 ::1 FacadeBase Authentication End
2018-01-22 13:08:29.0469 ARCHWAY-ROOT 16 SRS1 ::1 MenuFacade Init Begin
2018-01-22 13:08:29.0799 ARCHWAY-ROOT 16 SRS1 ::1 MenuFacade Init End
2018-01-22 13:08:32.3715 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase Authentication Begin
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase Authentication End
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade GetPermission End
2018-01-22 13:08:32.3725 ARCHWAY-ROOT 14 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-22 13:08:32.4685 ARCHWAY-ROOT 14 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase Authentication Begin
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase Authentication End
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 LoginFacade GetPermission End
2018-01-22 13:08:34.7725 ARCHWAY-ROOT 14 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-22 13:08:34.7975 ARCHWAY-ROOT 14 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 FacadeBase Authentication Begin
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 FacadeBase Authentication End
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-22 13:08:34.8114 ARCHWAY-ROOT 10 SRS1 ::1 LoginFacade RegulationCheck End
