2018-01-17 08:40:19.7440 DESKTOP-2Q89F24 14  ::1 LoginRule CheckLoginFailedLockDown Begin
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule CheckLoginFailedLockDown End
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule GetAuthentication Begin
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule GetAuthentication End
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule ClearLoginFailedCount Begin
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule ClearLoginFailedCount End
2018-01-17 08:40:19.7570 DESKTOP-2Q89F24 14  ::1 LoginRule SetUserInfo Begin
2018-01-17 08:40:19.7760 DESKTOP-2Q89F24 14  ::1 LoginRule SetUserInfo End
2018-01-17 08:40:19.8570 DESKTOP-2Q89F24 14 SRS1 ::1 MenuRule GetMenuData Begin
2018-01-17 08:40:19.9151 DESKTOP-2Q89F24 14 SRS1 ::1 MenuRule GetMenuData End
2018-01-17 08:40:19.9151 DESKTOP-2Q89F24 14 SRS1 ::1 MenuRule GetNoticeData Begin
2018-01-17 08:40:19.9151 DESKTOP-2Q89F24 14 SRS1 ::1 MenuRule GetNoticeData End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-17 08:40:33.9869 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-17 08:40:40.4541 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-17 08:40:40.4541 DESKTOP-2Q89F24 8 SRS1 ::1 RuleBase HasSearchPermission Begin
2018-01-17 08:40:40.4541 DESKTOP-2Q89F24 8 SRS1 ::1 RuleBase HasSearchPermission End
2018-01-17 08:40:40.4611 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule CheckCondition Begin
2018-01-17 08:40:40.4611 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule CheckCondition End
2018-01-17 08:40:40.4611 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Search Begin
2018-01-17 08:40:40.4611 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Search End
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailRule Init Begin
2018-01-17 08:40:40.6191 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailRule Init End
2018-01-17 08:40:40.6191 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailRule GetCommonData Begin
2018-01-17 08:40:40.7351 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailRule GetCommonData End
